idx,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,uri,valence
11,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,0.272,0.509,286293,0.331,0.136,4,0.114,-14.083,1,0.0267,96.848,4,spotify:track:1W7Eajq8Hlqiy39QnuKjvD,0.0957
12,Girl,John Parish,0.961,0.421,89293,0.0885,0.906,9,0.1,-24.288,0,0.077,99.146,5,spotify:track:2XD86wHUdCtb73qTFjqvMg,0.202
13,Pearl's Theme,Paper Dollhouse,0.964,0.479,187005,0.299,0.911,0,0.0966,-15.568,1,0.0338,117.003,4,spotify:track:1WpylnvwRzSalO31OAE7Kw,0.194
14,Rutti,Slowdive,0.884,0.458,602333,0.109,0.773,2,0.0965,-19.5,0,0.0429,138.04,4,spotify:track:4mAWIeaVmynT3NMqkpEX4h,0.039
15,The Blackest Day,Lana Del Rey,0.363,0.445,365760,0.522,0.000487,2,0.0797,-8.007,1,0.0331,107.752,4,spotify:track:45pI8224KKX9Gx5fiyvEAh,0.162
16,The Ghost Who Walks,Karen Elson,0.238,0.476,182027,0.765,0.0185,0,0.0832,-5.914,0,0.045,89.872,4,spotify:track:2y0IGQ6vyz3RFtf3yJXq8G,0.325
17,I Lied (with Allison Ponthier),Lord Huron,0.914,0.44,234383,0.269,0.261,5,0.132,-10.769,1,0.0262,103.877,3,spotify:track:7xQg5QTx8eiQnsxEnfynPh,0.138
18,Teenage Girl,Cherry Glazerr,0.771,0.51,107183,0.441,0.0295,7,0.244,-7.946,1,0.0344,111.966,4,spotify:track:3Eo6m5UvTDQxTmaMnzQsRr,0.113
19,Death Valley Ballad,Alchemy Drive,0.405,0.524,230400,0.461,0.608,3,0.0956,-8.384,0,0.0307,150.201,3,spotify:track:5vDNyApvmt0e09Odmt1L9M,0.0487
20,Harold's Theme,Xiu Xiu,0.836,0.239,236400,0.378,0.826,1,0.0853,-12.434,1,0.032,149.825,4,spotify:track:1wLiXfUVNQOXbLXUyYzzvI,0.0544
21,I Float Alone,Julee Cruise,0.843,0.37,275600,0.147,0.211,11,0.107,-21.379,0,0.0275,63.093,4,spotify:track:5PG3A9eRQW4jb5MBosTnhJ,0.055
